,,close,date,high,low,market_cap,open,volume
Historical data for Monero,15,175.51,2018-04-01,182.11,165.25,2839980000,178.78,31024200
Historical data for Monero,16,179.56,2018-03-31,181.97,171.54,2740000000,172.53,22220300
Historical data for Monero,17,172.36,2018-03-30,180.41,162.99,2794560000,176.0,41887500
Historical data for Monero,18,176.86,2018-03-29,200.83,174.64,3164030000,199.31,53055600
Historical data for Monero,19,199.16,2018-03-28,201.52,186.32,2975330000,187.47,44833300
Historical data for Monero,20,187.93,2018-03-27,197.9,184.58,3123560000,196.85,53498800
Historical data for Monero,21,197.18,2018-03-26,212.68,188.55,3359790000,211.78,37329600
Historical data for Monero,22,211.78,2018-03-25,214.4,203.02,3288230000,207.32,23409900
Historical data for Monero,23,209.16,2018-03-24,217.24,208.7,3415180000,215.37,24099100
Historical data for Monero,24,213.91,2018-03-23,214.33,199.17,3368360000,212.47,39365700
Historical data for Monero,25,212.71,2018-03-22,223.68,204.9,3464170000,218.56,40394500
Historical data for Monero,26,218.63,2018-03-21,235.9,215.28,3553750000,224.26,57121400
Historical data for Monero,27,223.74,2018-03-20,233.27,206.96,3452770000,217.94,60005900
Historical data for Monero,28,216.77,2018-03-19,222.0,202.38,3331520000,210.33,67314400
Historical data for Monero,29,209.63,2018-03-18,209.63,175.08,3126390000,197.43,75859900
